Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc
TL,2016-03-11,molybdenum_dissolved,NA,DET,0.6,0.6
TL,2016-03-11,nickel_dissolved,NA,DET,0.9,0.9
TL,2016-03-11,rubidium_dissolved,NA,DET,0.7,0.7
TL,2016-03-11,selenium_dissolved,0.3,BDL,0.3,0.15
TL,2016-03-11,silver_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,strontium_dissolved,NA,DET,146,146
TL,2016-03-11,thallium_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,titanium_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,uranium_dissolved,NA,DET,0.4,0.4
TL,2016-03-11,vanadium_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,zinc_dissolved,NA,DET,0.9,0.9
TL,2016-03-11,aluminum_total,NA,DET,26.35,26.35
TL,2016-03-11,antimony_total,0.1,BDL,0.1,0.05
TL,2016-03-11,arsenic_total,NA,DET,0.4,0.4
TL,2016-03-11,barium_total,NA,DET,63.45,63.45
TL,2016-03-11,beryllium_total,0.1,BDL,0.1,0.05
TL,2016-03-11,cadmium_total,0.1,BDL,0.1,0.05
TL,2016-03-11,chromium_total,0.1,BDL,0.1,0.05
TL,2016-03-11,cobalt_total,NA,DET,0.3,0.3
TL,2016-03-11,copper_total,NA,DET,0.55,0.55
TL,2016-03-11,iron_total,NA,DET,511.5,511.5
TL,2016-03-11,lead_total,0.1,BDL,0.1,0.05
TL,2016-03-11,lithium_total,NA,DET,6.65,6.65
TL,2016-03-11,manganese_total,NA,DET,216.5,216.5
TL,2016-03-11,methylmercury_total,NA,DET,0.6,0.6
TL,2016-03-11,molybdenum_total,NA,DET,0.9,0.9
TL,2016-03-11,nickel_total,NA,DET,0.8,0.8
TL,2016-03-11,rubidium_total,0.5,BDL,0.5,0.25
TL,2016-03-11,selenium_total,0.1,BDL,0.1,0.05
TL,2016-03-11,silver_total,NA,DET,145,145
TL,2016-03-11,strontium_total,0.1,BDL,0.1,0.05
TL,2016-03-11,thallium_total,NA,DET,0.95,0.95
TL,2016-03-11,titanium_total,NA,DET,0.4,0.4
TL,2016-03-11,uranium_total,NA,DET,0.2,0.2
TL,2016-03-11,vanadium_total,5,BDL,5,2.5
TL,2016-03-11,cesium_total,0.1,BDL,0.1,0.05
TL,2016-04-27,turbidity,NA,DET,3.22,3.22
TL,2016-04-27,total_hardness,NA,DET,195,195
TL,2016-04-27,ph,NA,DET,7.6,7.6
TL,2016-04-27,nitrogen_dissolved,NA,DET,0.86,0.86
TL,2016-04-27,nitrogen_total,NA,DET,0.92,0.92
TL,2016-04-27,organic_carbon_dissolved,NA,DET,20,20
