Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc,ResultCalcLog
TL,2015-04-08,chromium_dissolved,NA,DET,1,1,0
TL,2015-04-08,cobalt_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2015-04-08,copper_dissolved,NA,DET,0.7,0.7,-0.356674944
TL,2015-04-08,iron_dissolved,NA,DET,67,67,4.204692619
TL,2015-04-08,lead_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2015-04-08,lithium_dissolved,NA,DET,7.3,7.3,1.987874348
TL,2015-04-08,manganese_dissolved,NA,DET,74.5,74.5,4.310799125
TL,2015-04-08,molybdenum_dissolved,NA,DET,0.07,0.07,-2.659260037
TL,2015-04-08,nickel_dissolved,NA,DET,2.1,2.1,0.741937345
TL,2015-04-08,rubidium_dissolved,NA,DET,0.7,0.7,-0.356674944
TL,2015-04-08,selenium_dissolved,0.3,BDL,0.3,0.15,-1.897119985
TL,2015-04-08,silver_dissolved,0.4,BDL,0.4,0.2,-1.609437912
TL,2015-04-08,strontium_dissolved,NA,DET,157,157,5.056245805
TL,2015-04-08,thallium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2015-04-08,titanium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2015-04-08,uranium_dissolved,NA,DET,0.4,0.4,-0.916290732
TL,2015-04-08,vanadium_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2015-04-08,zinc_dissolved,NA,DET,4,4,1.386294361
TL,2015-04-08,aluminum_total,NA,DET,120,120,4.787491743
TL,2015-04-08,antimony_total,NA,DET,0.2,0.2,-1.609437912
TL,2015-04-08,arsenic_total,NA,DET,0.5,0.5,-0.693147181
TL,2015-04-08,barium_total,NA,DET,61.1,61.1,4.112511866
TL,2015-04-08,beryllium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2015-04-08,cadmium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2015-04-08,cesium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2015-04-08,chromium_total,NA,DET,0.7,0.7,-0.356674944
TL,2015-04-08,cobalt_total,NA,DET,0.2,0.2,-1.609437912
TL,2015-04-08,copper_total,NA,DET,1.1,1.1,0.09531018
TL,2015-04-08,iron_total,NA,DET,499,499,6.212606096
TL,2015-04-08,lead_total,NA,DET,0.7,0.7,-0.356674944
TL,2015-04-08,lithium_total,NA,DET,8,8,2.079441542
TL,2015-04-08,manganese_total,NA,DET,75,75,4.317488114
TL,2015-04-08,molybdenum_total,NA,DET,0.5,0.5,-0.693147181
TL,2015-04-08,nickel_total,NA,DET,1.1,1.1,0.09531018
TL,2015-04-08,rubidium_total,NA,DET,0.9,0.9,-0.105360516
TL,2015-04-08,selenium_total,0.5,BDL,0.5,0.25,-1.386294361
TL,2015-04-08,silver_total,NA,DET,0.2,0.2,-1.609437912
TL,2015-04-08,strontium_total,NA,DET,143,143,4.96284463
TL,2015-04-08,thallium_total,NA,DET,0.8,0.8,-0.223143551
TL,2015-04-08,titanium_total,NA,DET,4.5,4.5,1.504077397
TL,2015-04-08,uranium_total,NA,DET,0.4,0.4,-0.916290732
TL,2015-04-08,vanadium_total,NA,DET,0.5,0.5,-0.693147181
TL,2015-04-08,zinc_total,NA,DET,6.9,6.9,1.931521412
TL,2016-03-11,total_hardness,NA,DET,249,249,5.517452896
